method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,threshold_hc,mean_identity_loss,mean_prototype_loss,prototype_active,mean_min_prototype_occupancy,mean_max_prototype_occupancy,n_test,status
baseline,internal_fold,0,0,0.704660587639311,0.6059616281220598,0.4999999999999999,0.583080040526849,21.0,0.39979100227355957,0.054544042736136666,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,0,0,0.6889564336372848,0.6196651467466427,0.4507042253521127,0.5749746707193516,21.0,0.378284752368927,0.08048331213183701,0.9686118857065836,6.0,8.440833333333334,12.315,89,PASS
baseline,internal_fold,0,1,0.7619047619047619,0.6091287384687335,0.780952380952381,0.7337892603850051,45.0,0.47961029410362244,0.07223668532135585,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,0,1,0.7462006079027356,0.6225989169377101,0.6206896551724138,0.6324721377912867,45.0,0.4118446111679077,0.1003153850712503,0.9775813339153926,6.0,8.384166666666667,12.475,89,PASS
baseline,internal_fold,0,2,0.7437888198757764,0.6130521026587337,0.6981132075471699,0.6283643892339544,49.0,0.5597848892211914,0.06943032377089063,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,2,0.7210144927536233,0.630565456174708,0.7102803738317758,0.6392339544513458,49.0,0.5944262742996216,0.08511714489820103,1.014680178662141,6.0,8.544166666666667,12.325833333333334,88,PASS
baseline,internal_fold,0,3,0.7489648033126294,0.5966633077283808,0.625,0.6645962732919255,41.0,0.3734629154205322,0.05267989745906865,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,3,0.712215320910973,0.6240494755246341,0.5974025974025974,0.6547619047619048,1.0,0.4195432662963867,0.085363418723767,0.9450191920002301,6.0,8.275,12.509166666666667,88,PASS
baseline,internal_fold,0,4,0.6376811594202899,0.6781851958755495,0.6407766990291262,0.5729813664596273,48.0,0.5112190842628479,0.056784342767981194,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,4,0.6392339544513458,0.6923124138414825,0.6391752577319587,0.5988612836438924,15.0,0.4698191285133362,0.08211674531921745,0.9792504409948984,6.0,8.196666666666667,12.575833333333334,88,PASS
baseline,internal_fold,0,5,0.7161390762843799,0.6283120313398726,0.6666666666666666,0.6606123508043591,50.0,0.4064030647277832,0.060382387491408736,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,5,0.7176959003632589,0.6186295716030692,0.7070707070707072,0.6650233523611832,17.0,0.4844668209552765,0.08280410013472041,0.9790981542070707,6.0,8.47,12.3575,88,PASS
baseline,internal_fold,0,6,0.7275557861961598,0.6107484140502082,0.6947368421052632,0.6681370005189413,44.0,0.420136034488678,0.06327954016781101,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,6,0.6372599896211728,0.6620772374009569,0.6304347826086957,0.6133886870783601,46.0,0.46465015411376953,0.08809805920037131,0.976756638387839,6.0,8.385,12.498333333333333,88,PASS
baseline,internal_fold,0,7,0.730669434353918,0.6163397680447357,0.4923076923076923,0.6458225220550078,41.0,0.32288113236427307,0.05973820263675104,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,7,0.6642449403217437,0.6440125801524591,0.66,0.6071613907628438,10.0,0.5178372859954834,0.08978519688049952,0.9781966432929039,6.0,8.108333333333333,12.703333333333333,88,PASS
baseline,internal_fold,0,8,0.7789309807991698,0.573575981808487,0.7169811320754716,0.6481577581733264,38.0,0.5480790138244629,0.05653282820402334,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,8,0.7872340425531915,0.5704422160774736,0.6976744186046512,0.7093928386092372,10.0,0.4172164499759674,0.09201548653654754,0.9642797448237737,6.0,8.169166666666667,12.639166666666666,88,PASS
baseline,internal_fold,0,9,0.6735858847950181,0.662537176934658,0.54320987654321,0.5877010897768552,18.0,0.39426809549331665,0.049581716532508535,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,0,9,0.6881162428645563,0.6612879284960438,0.4999999999999999,0.606123508043591,14.0,0.3385176360607147,0.07523925183961788,0.9866209820906321,6.0,8.323333333333334,12.484166666666667,88,PASS
baseline,caltech,0,external,0.7777777777777778,0.5790218218372047,0.6829268292682926,0.6461988304093567,4.0,0.5325372815132141,0.0479874642053619,nan,0.0,nan,nan,37,PASS
baseline,abide2,0,external,0.7222665847665848,0.6105834175124831,0.7249114521841794,0.6693373771498772,4.0,0.5325372815132141,0.0479874642053619,nan,0.0,nan,nan,727,PASS
treatment,caltech,0,external,0.7953216374269005,0.5703446084458021,0.6341463414634148,0.5921052631578947,16.0,0.4948823153972626,0.07770662569706993,0.9617342236212322,6.0,8.541428571428572,12.132142857142858,37,PASS
treatment,abide2,0,external,0.722512285012285,0.6163908962409286,0.7079207920792078,0.6716638513513513,16.0,0.4948823153972626,0.07770662569706993,0.9617342236212322,6.0,8.541428571428572,12.132142857142858,727,PASS
baseline,internal_oof,0,all,0.718196124970976,0.6194234384686572,0.6482910694597573,0.6388715461417405,39.5,nan,0.05951899670879357,nan,0.0,nan,nan,882,PASS
