method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,threshold_hc,n_experts,temperature,hc_centroid_norm,pca_unit_norm,pca_singular_value,sigma_margin,sigma_projection,symmetry_ratio,symmetry_scale,initial_delta_l2,expert_1_mean_mass,expert_2_mean_mass,expert_1_hard_fraction,expert_2_hard_fraction,responsibility_entropy,delta_weight_1_l2,delta_weight_2_l2,delta_weight_cosine,delta_bias_1,delta_bias_2,task_seconds,n_test,status
baseline,internal_fold,0,0,0.7370820668693009,0.5938375854871435,0.5882352941176471,0.6111955420466059,31.0,24.0,nan,0.4498368501663208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,214.93388414382935,89,PASS
control_referenced_soft_multiboundary,internal_fold,0,0,0.7370820668693009,0.5938270904306926,0.5882352941176471,0.6111955420466059,31.0,24.0,0.0,0.44983381032943726,2.0,1.0,23.18095588684082,1.0,149.9065399169922,1.184387445449829,7.743921279907227,0.01,0.0015294414479285479,0.0021629570983350277,0.5006985664367676,0.4993014335632324,0.40059345960617065,0.5994065403938293,0.6930902004241943,0.0015294414479285479,0.0015294414479285479,-1.0000001192092896,0.0,0.0,214.9338812828064,89,PASS
baseline,internal_fold,0,1,0.7396149949341438,0.6159775661061893,0.6666666666666666,0.6775582573454915,17.0,11.0,nan,0.43212977051734924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,223.57697057724,89,PASS
control_referenced_soft_multiboundary,internal_fold,0,1,0.743161094224924,0.6137709182430204,0.651685393258427,0.6537487335359675,17.0,11.0,3.0,0.41306814551353455,2.0,1.0,26.29591178894043,1.0,148.12722778320312,0.7218468189239502,7.572860240936279,0.01,0.0009532023104839027,0.001348031684756279,0.5006119608879089,0.49938806891441345,0.4228486716747284,0.577151358127594,0.6931169033050537,0.04048488289117813,0.0402931272983551,0.9941089749336243,-0.00014879454101901501,-0.00014887111319694668,223.57693338394165,89,PASS
baseline,internal_fold,0,2,0.7707039337474121,0.5923751522621378,0.7450980392156864,0.6987577639751552,40.0,64.0,nan,0.5157937407493591,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,228.06192135810852,88,PASS
control_referenced_soft_multiboundary,internal_fold,0,2,0.7707039337474121,0.592399027791785,0.7450980392156864,0.6987577639751552,40.0,64.0,0.0,0.5157914757728577,2.0,1.0,23.860328674316406,1.0,137.3607177734375,1.9875158071517944,6.262929439544678,0.01,0.003173460252583027,0.004487950354814529,0.5030997395515442,0.4969002306461334,0.5875371098518372,0.41246291995048523,0.6929746866226196,0.003173460252583027,0.003173460252583027,-1.0,0.0,0.0,228.06191849708557,88,PASS
baseline,internal_fold,0,3,0.7536231884057971,0.5900732205483916,0.5428571428571429,0.6469979296066253,36.0,48.0,nan,0.34452205896377563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,207.3625829219818,88,PASS
control_referenced_soft_multiboundary,internal_fold,0,3,0.7536231884057971,0.5900817729655903,0.5428571428571429,0.6469979296066253,36.0,48.0,0.0,0.34450843930244446,2.0,1.0,23.177982330322266,1.0,159.58457946777344,1.816084384918213,8.420548439025879,0.01,0.002156729344278574,0.003050076076760888,0.5003730654716492,0.49962690472602844,0.33679524064064026,0.6632047295570374,0.693013072013855,0.002156729344278574,0.002156729344278574,-1.0000001192092896,0.0,0.0,207.36258125305176,88,PASS
baseline,internal_fold,0,4,0.6314699792960663,0.683777258108501,0.6538461538461539,0.5838509316770186,23.0,49.0,nan,0.548521101474762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,206.08785843849182,88,PASS
control_referenced_soft_multiboundary,internal_fold,0,4,0.6314699792960663,0.6837727451747273,0.6538461538461539,0.5838509316770186,23.0,49.0,0.0,0.5485161542892456,2.0,1.0,24.118783950805664,1.0,132.82846069335938,1.863412857055664,7.010910987854004,0.01,0.002657875418663025,0.0037588034756481647,0.5003659129142761,0.4996340572834015,0.6364985108375549,0.36350148916244507,0.6930012106895447,0.002657875418663025,0.002657875418663025,-1.0,0.0,0.0,206.08785271644592,88,PASS
