method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_dsls_epoch,selected_csda_epoch,selected_icdm_epoch,threshold_hc,dsls_singular1,dsls_singular2,dsls_singular3,dsls_shared_energy_fraction,dsls_asd_score_mean,dsls_asd_score_std,dsls_hc_score_mean,dsls_hc_score_std,dsls_std_floor,dsls_parameter_l2,dsls_mean_abs_delta,csda_num_sites,csda_cross_site_positive_pairs,csda_cross_site_same_y_cos,csda_same_site_same_y_cos,csda_opposite_y_cos,csda_site_retrieval_accuracy,csda_profile_std_floor,csda_projection_l2,csda_head_l2,csda_mean_abs_delta,icdm_mean_abs_roi_prompt,icdm_mean_abs_edge_log_gate,icdm_mean_edge_factor,icdm_std_edge_factor,icdm_factor_min,icdm_factor_max,icdm_fraction_gt1,icdm_mean_abs_fc_change,icdm_down_l2,icdm_up_l2,task_seconds,n_test,status
baseline,internal_fold,0,0,0.734549138804458,0.5941130806215061,0.5882352941176471,0.6111955420466059,31.0,24.0,nan,nan,nan,0.4486645460128784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,445.4786846637726,89,PASS
dsls,internal_fold,0,0,0.734549138804458,0.5941130835240487,0.5882352941176471,0.6111955420466059,31.0,24.0,0.0,nan,nan,0.4486645758152008,758.784423828125,643.7777709960938,623.591552734375,0.048504844307899475,0.32681673765182495,1.239944338798523,6.668700507361791e-07,0.999983549118042,0.019524775445461273,1.7249441146850586,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,445.4786846637726,89,PASS
csda,internal_fold,0,0,0.7350557244174265,0.5910089977077402,0.5641025641025641,0.6268996960486322,31.0,24.0,nan,102.0,nan,0.4037686884403229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206596.0,0.059168554842472076,0.0687834769487381,-0.04728540778160095,0.3516320586204529,0.0013118281029164793,8.07473373413086,0.7062992453575134,0.19351239502429962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,445.4786846637726,89,PASS
icdm,internal_fold,0,0,0.7350557244174266,0.5936890256471061,0.5882352941176471,0.6111955420466059,31.0,24.0,nan,nan,9.0,0.4484468400478363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005434999242424965,0.0053638131357729435,1.00538170337677,0.006620526313781738,0.9662628173828125,1.0579348802566528,0.9852083921432495,0.0009910681983456016,5.670693397521973,0.7045197486877441,445.4786846637726,89,PASS
baseline,internal_fold,0,1,0.7391084093211753,0.6161327791642486,0.6444444444444444,0.6418439716312057,17.0,11.0,nan,nan,nan,0.4324162006378174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,763.2885224819183,89,PASS
dsls,internal_fold,0,1,0.7350557244174266,0.6191887511593319,0.6590909090909092,0.6656534954407295,17.0,11.0,95.0,nan,nan,0.4194194972515106,752.6788940429688,673.611083984375,592.2329711914062,0.04700338467955589,0.13642668724060059,1.4036812782287598,-5.014060633357076e-08,0.9999831914901733,0.020295214653015137,2.2722039222717285,0.20044982433319092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,763.2885224819183,89,PASS
csda,internal_fold,0,1,0.7416413373860181,0.6125912567251486,0.6956521739130436,0.6856636271529888,17.0,11.0,nan,70.0,nan,0.449541300535202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206354.0,0.040014442056417465,0.05451864376664162,-0.02578015811741352,0.24777448177337646,0.0014414343982934953,7.964777946472168,0.4283299744129181,0.10748757421970367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,763.2885224819183,89,PASS
icdm,internal_fold,0,1,0.7411347517730497,0.6128889713642423,0.651685393258427,0.6537487335359675,17.0,11.0,nan,nan,149.0,0.428266316652298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09236294031143188,0.08805976808071136,1.0914517641067505,0.027780283242464066,0.904837429523468,1.1051709651947021,0.985878586769104,0.01646394655108452,9.57083511352539,6.765853404998779,763.2885224819183,89,PASS
baseline,internal_fold,0,2,0.7701863354037267,0.5918909066778909,0.7450980392156864,0.6987577639751552,40.0,64.0,nan,nan,nan,0.5139911770820618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320.0783762931824,88,PASS
dsls,internal_fold,0,2,0.7712215320910973,0.5972350665502991,0.7346938775510203,0.7008281573498965,40.0,64.0,33.0,nan,nan,0.4769997298717499,771.2427368164062,696.181884765625,581.2947998046875,0.046463094651699066,-0.5398047566413879,1.4082978963851929,4.873666625826445e-07,0.9999833703041077,0.018636341392993926,2.206857204437256,0.053031038492918015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,320.0783762931824,88,PASS
