representation,scope,repeat,fold,n_subjects,disease_axis_auc,disease_geometry_gap,fingerprint_n,fingerprint_top1,fingerprint_top5,fingerprint_mrr,fingerprint_same_similarity,fingerprint_different_similarity,fingerprint_identity_gap,within_site_top1,within_site_same_dx_top1,topedge_sign_agreement,topedge_spearman,topedge_cosine,roi_signed_spearman,roi_absburden_spearman,selected_encoder_epoch,task_seconds,status
pearson_windowavg,internal_fold,0,0,89,0.6773049645390071,0.007646414653283362,89,0.8932584269662921,0.9438202247191011,0.9153649253368354,0.4604676938458775,0.16129708941702608,0.2991706044288514,0.9166666666666666,0.8653846153846154,nan,nan,nan,nan,nan,nan,201.81526589393616,PASS
pearson_full,internal_fold,0,0,89,0.6773049645390071,0.007646414653283362,89,0.8932584269662921,0.9438202247191011,0.9153649253368354,0.4604676938458775,0.16129708941702608,0.2991706044288514,0.9166666666666666,0.8653846153846154,nan,nan,nan,nan,nan,nan,201.81526589393616,PASS
varconet_selected,internal_fold,0,0,89,0.7127659574468085,0.0045429116316018925,89,1.0,1.0,1.0,0.36325583062814865,0.09205351374563936,0.2712023168825093,1.0,1.0,nan,nan,nan,nan,nan,40.0,201.81526589393616,PASS
varconet_epoch50,internal_fold,0,0,89,0.7117527862208713,0.0045131830217107205,89,1.0,1.0,1.0,0.36287533433249824,0.09137293216674869,0.2715024021657495,1.0,1.0,nan,nan,nan,nan,nan,50.0,201.81526589393616,PASS
pearson_windowavg,internal_fold,0,1,89,0.5131712259371835,0.004375374029919499,89,0.8876404494382022,0.9719101123595506,0.9229866607627166,0.4485384168919553,0.15920862964373272,0.28932978724822256,0.9603174603174602,0.96875,nan,nan,nan,nan,nan,nan,193.1342351436615,PASS
pearson_full,internal_fold,0,1,89,0.5131712259371835,0.004375374029919499,89,0.8876404494382022,0.9719101123595506,0.9229866607627166,0.4485384168919553,0.15920862964373272,0.28932978724822256,0.9603174603174602,0.96875,nan,nan,nan,nan,nan,nan,193.1342351436615,PASS
varconet_selected,internal_fold,0,1,89,0.6828774062816616,0.0020271350715252434,89,1.0,1.0,1.0,0.3458780713295669,0.0935240914098361,0.25235397991973074,1.0,1.0,nan,nan,nan,nan,nan,44.0,193.1342351436615,PASS
varconet_epoch50,internal_fold,0,1,89,0.6838905775075989,0.0020287448092293214,89,1.0,1.0,1.0,0.34575815364885865,0.09334262663489484,0.2524155270139638,1.0,1.0,nan,nan,nan,nan,nan,50.0,193.1342351436615,PASS
pearson_windowavg,internal_fold,0,2,88,0.5351966873706003,0.0016142125815950814,88,0.8806818181818181,0.9261363636363635,0.9061376112746434,0.44587753632698546,0.16133704680955668,0.2845404895174288,0.9183673469387755,0.9210526315789473,nan,nan,nan,nan,nan,nan,192.96340155601501,PASS
pearson_full,internal_fold,0,2,88,0.5351966873706003,0.0016142125815950814,88,0.8806818181818181,0.9261363636363635,0.9061376112746434,0.44587753632698546,0.16133704680955668,0.2845404895174288,0.9183673469387755,0.9210526315789473,nan,nan,nan,nan,nan,nan,192.96340155601501,PASS
varconet_selected,internal_fold,0,2,88,0.665631469979296,0.0015779291712779975,88,0.9943181818181819,0.9943181818181819,0.9944318181818181,0.3711747931824489,0.11414362612212527,0.2570311670603236,0.9897959183673469,0.986842105263158,nan,nan,nan,nan,nan,24.0,192.96340155601501,PASS
varconet_epoch50,internal_fold,0,2,88,0.667184265010352,0.0014744398976669348,88,0.9886363636363636,0.9943181818181819,0.991600790513834,0.3635733407837423,0.10422388473068253,0.2593494560530598,0.9897959183673469,0.986842105263158,nan,nan,nan,nan,nan,50.0,192.96340155601501,PASS
pearson_windowavg,internal_fold,0,3,88,0.589544513457557,0.00644734713134279,88,0.9090909090909091,0.9829545454545454,0.9446208407605468,0.43078171580352564,0.15548775411693427,0.27529396168659137,1.0,1.0,nan,nan,nan,nan,nan,nan,193.33685040473938,PASS
pearson_full,internal_fold,0,3,88,0.589544513457557,0.00644734713134279,88,0.9090909090909091,0.9829545454545454,0.9446208407605468,0.43078171580352564,0.15548775411693427,0.27529396168659137,1.0,1.0,nan,nan,nan,nan,nan,nan,193.33685040473938,PASS
varconet_selected,internal_fold,0,3,88,0.644927536231884,0.0031120266064076085,88,1.0,1.0,1.0,0.3408709380098365,0.0961307301030318,0.24474020790680467,1.0,1.0,nan,nan,nan,nan,nan,17.0,193.33685040473938,PASS
varconet_epoch50,internal_fold,0,3,88,0.6371635610766047,0.002907461295345276,88,1.0,1.0,1.0,0.3369748318059878,0.087681907727023,0.2492929240789648,1.0,1.0,nan,nan,nan,nan,nan,50.0,193.33685040473938,PASS
pearson_windowavg,internal_fold,0,4,88,0.7142857142857143,0.006777891305725425,88,0.9090909090909091,0.9431818181818181,0.9311171782762693,0.45956076139753516,0.16333718902480218,0.29622357237273295,0.9636363636363636,0.9848484848484849,nan,nan,nan,nan,nan,nan,194.1313145160675,PASS
pearson_full,internal_fold,0,4,88,0.7142857142857143,0.006777891305725425,88,0.9090909090909091,0.9431818181818181,0.9311171782762693,0.45956076139753516,0.16333718902480218,0.29622357237273295,0.9636363636363636,0.9848484848484849,nan,nan,nan,nan,nan,nan,194.1313145160675,PASS
varconet_selected,internal_fold,0,4,88,0.7137681159420289,0.004034873066878775,88,1.0,1.0,1.0,0.35961306890980765,0.09562314911066704,0.2639899197991406,1.0,1.0,nan,nan,nan,nan,nan,27.0,194.1313145160675,PASS
varconet_epoch50,internal_fold,0,4,88,0.7101449275362318,0.0038755767310938716,88,1.0,1.0,1.0,0.35935256189920683,0.0933689132615994,0.26598364863760743,1.0,1.0,nan,nan,nan,nan,nan,50.0,194.1313145160675,PASS
