repeat,epoch,is_selected,scope,fingerprint_top1,identity_gap,disease_axis_auc,disease_geometry_gap,split_half_disease_cosine,n_identity_subjects,n_disease_subjects,status
0,0,False,internal_train,nan,nan,nan,0.0039926509568789514,0.4176307877898216,0,882,PASS
0,0,False,caltech,nan,nan,0.6842105263157895,nan,nan,0,37,PASS
0,0,False,abide2,0.9617996604414262,0.2605783864543131,0.6593135749385749,nan,nan,589,727,PASS
0,1,False,internal_train,nan,nan,nan,0.0039762822030505185,0.4156766979396343,0,882,PASS
0,1,False,caltech,nan,nan,0.6871345029239766,nan,nan,0,37,PASS
0,1,False,abide2,0.9617996604414262,0.26183977111081697,0.6599355036855037,nan,nan,589,727,PASS
0,5,False,internal_train,nan,nan,nan,0.0035804958905978346,0.3864323717355728,0,882,PASS
0,5,False,caltech,nan,nan,0.672514619883041,nan,nan,0,37,PASS
0,5,False,abide2,0.9796264855687606,0.27254001155700597,0.6695408476658476,nan,nan,589,727,PASS
0,10,False,internal_train,nan,nan,nan,0.0031322207544971503,0.3529326915740967,0,882,PASS
0,10,False,caltech,nan,nan,0.6929824561403509,nan,nan,0,37,PASS
0,10,False,abide2,0.9932088285229201,0.2834118875412334,0.6865095208845209,nan,nan,589,727,PASS
0,20,False,internal_train,nan,nan,nan,0.0028935312089626297,0.33410403862595556,0,882,PASS
0,20,False,caltech,nan,nan,0.7573099415204679,nan,nan,0,37,PASS
0,20,False,abide2,0.9940577249575552,0.28988302537321803,0.6899953931203932,nan,nan,589,727,PASS
0,30,False,internal_train,nan,nan,nan,0.00278502023854732,0.32667385444045066,0,882,PASS
0,30,False,caltech,nan,nan,0.7514619883040936,nan,nan,0,37,PASS
0,30,False,abide2,0.9966044142614601,0.29207595498213745,0.6878378378378378,nan,nan,589,727,PASS
0,40,False,internal_train,nan,nan,nan,0.002709932110724844,0.32299181431531904,0,882,PASS
0,40,False,caltech,nan,nan,0.760233918128655,nan,nan,0,37,PASS
0,40,False,abide2,0.9957555178268251,0.29276720228565234,0.689534705159705,nan,nan,589,727,PASS
0,50,False,internal_train,nan,nan,nan,0.002717150648551242,0.3235137774050236,0,882,PASS
0,50,False,caltech,nan,nan,0.7631578947368421,nan,nan,0,37,PASS
0,50,False,abide2,0.9966044142614601,0.2927778081786493,0.6894809582309582,nan,nan,589,727,PASS
0,7,True,internal_train,nan,nan,nan,0.003301776175912541,0.36700728848576547,0,882,PASS
0,7,True,caltech,nan,nan,0.6842105263157895,nan,nan,0,37,PASS
0,7,True,abide2,0.9864176570458404,0.27737529689438556,0.6774570024570025,nan,nan,589,727,PASS
1,0,False,internal_train,nan,nan,nan,0.0037300939711634173,0.4166219027340412,0,882,PASS
1,0,False,caltech,nan,nan,0.6198830409356725,nan,nan,0,37,PASS
1,0,False,abide2,0.9643463497453311,0.2531565480721822,0.6579775798525799,nan,nan,589,727,PASS
1,1,False,internal_train,nan,nan,nan,0.0037658136589585056,0.4152108672261238,0,882,PASS
1,1,False,caltech,nan,nan,0.6228070175438597,nan,nan,0,37,PASS
1,1,False,abide2,0.966044142614601,0.25625170136713593,0.6579929361179362,nan,nan,589,727,PASS
1,5,False,internal_train,nan,nan,nan,0.003488308656577066,0.38852308347821235,0,882,PASS
1,5,False,caltech,nan,nan,0.6461988304093568,nan,nan,0,37,PASS
1,5,False,abide2,0.9838709677419355,0.2694565887104971,0.6650030712530712,nan,nan,589,727,PASS
1,10,False,internal_train,nan,nan,nan,0.0030415627706000536,0.3513520933687687,0,882,PASS
1,10,False,caltech,nan,nan,0.6783625730994153,nan,nan,0,37,PASS
1,10,False,abide2,0.9923599320882852,0.2804708037159541,0.6776873464373465,nan,nan,589,727,PASS
1,20,False,internal_train,nan,nan,nan,0.002925631475853535,0.3392190308868885,0,882,PASS
1,20,False,caltech,nan,nan,0.7017543859649124,nan,nan,0,37,PASS
1,20,False,abide2,0.9932088285229201,0.2875164178512787,0.6835764742014743,nan,nan,589,727,PASS
1,30,False,internal_train,nan,nan,nan,0.002761322028217661,0.33060940593481064,0,882,PASS
1,30,False,caltech,nan,nan,0.736842105263158,nan,nan,0,37,PASS
