method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_node_switch,mean_node_deviation,n_test,status
baseline,internal_fold,0,0,0.7345491388044579,0.5941451275670527,0.5882352941176471,0.6111955420466059,31.0,24.0,nan,0.4477054476737976,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,0,0,0.7279635258358663,0.5979236964850819,0.5882352941176471,0.6111955420466059,31.0,24.0,18.0,0.4515862762928009,774.0,15.0,93.53866666666667,121.8480000813802,5.658666666666667,7.414666676839193,9.488,0.3548972005049388,0.24561970551808676,89,PASS
baseline,internal_fold,0,1,0.7391084093211753,0.6161905916661402,0.6444444444444444,0.6418439716312057,17.0,11.0,nan,0.4327736496925354,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,0,1,0.7259371833839919,0.6240304810568893,0.7238095238095238,0.6661600810536981,26.0,16.0,130.0,0.4926694631576538,774.0,15.0,93.53866666666667,121.5506669921875,5.658666666666667,7.3946666844685875,9.488,0.3747973238627116,0.260543123960495,89,PASS
baseline,internal_fold,0,2,0.7707039337474121,0.5923427417988308,0.7450980392156864,0.6987577639751552,40.0,64.0,nan,0.5127460956573486,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,2,0.7624223602484471,0.5941739779915894,0.7378640776699029,0.6868530020703933,40.0,64.0,32.0,0.52243572473526,774.0,15.0,93.53866666666667,121.2826669108073,5.658666666666667,7.372000012715658,9.488,0.35513113530476886,0.24418468789259593,88,PASS
baseline,internal_fold,0,3,0.753623188405797,0.5905309106512818,0.5507246376811594,0.6589026915113871,36.0,48.0,nan,0.33982905745506287,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,3,0.743271221532091,0.5988505917520658,0.6027397260273973,0.6796066252587991,36.0,48.0,149.0,0.3425789773464203,774.0,15.0,93.53866666666667,121.37066680908202,5.658666666666667,7.38400001780192,9.488,0.3680250643889109,0.25485470763842266,88,PASS
baseline,internal_fold,0,4,0.6330227743271222,0.6820481044734951,0.6538461538461539,0.5838509316770186,23.0,49.0,nan,0.5470938682556152,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,4,0.5802277432712215,0.7284572912160315,0.7008547008547008,0.5885093167701863,23.0,49.0,149.0,0.6466509103775024,774.0,15.0,93.53866666666667,121.8079999593099,5.658666666666667,7.410666684468588,9.488,0.3646435984770457,0.2523179270426432,88,PASS
baseline,internal_fold,0,5,0.7166580176440063,0.624510580777617,0.6666666666666666,0.6743642968344576,42.0,44.0,nan,0.38566359877586365,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,5,0.6896730669434354,0.6431646714487611,0.6451612903225806,0.6240269849507005,42.0,44.0,63.0,0.44919252395629883,774.0,15.0,93.53866666666667,121.65866701253255,5.658666666666667,7.4013333384195965,9.488,0.355578324397405,0.24489592881997427,88,PASS
baseline,internal_fold,0,6,0.7337830825116762,0.6047242209229154,0.6590909090909092,0.6621691748832381,34.0,26.0,nan,0.3995905816555023,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,6,0.7343020238713026,0.6046511608156775,0.6590909090909092,0.6621691748832381,34.0,26.0,1.0,0.3990020453929901,774.0,15.0,93.53866666666667,121.66000004069011,5.658666666666667,7.404000011444092,9.488,0.35164803274472556,0.24334474503993989,88,PASS
