method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_edge_switch,std_edge_switch,dynamic_head_l2,task_seconds,n_test,status
baseline,internal_fold,0,0,0.7386018237082066,0.5960367958803499,0.54320987654321,0.5911854103343466,49.0,21.0,nan,0.4415242373943329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,417.8820331096649,89,PASS
pretransformer_edge_residual,internal_fold,0,0,0.7573454913880446,0.5874138895658719,0.5526315789473684,0.6281661600810537,49.0,21.0,1.0,0.40621867775917053,73536.0,15.0,93.53866666666667,121.8480000813802,5.658666666666667,7.414666676839193,9.488,0.34075203943252563,0.12666334561506906,0.01355859637260437,417.8820309638977,89,PASS
baseline,internal_fold,0,1,0.7396149949341438,0.6160829413325719,0.6590909090909092,0.6656534954407295,17.0,11.0,nan,0.4322790503501892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,318.6125838756561,89,PASS
pretransformer_edge_residual,internal_fold,0,1,0.7021276595744681,0.619253094607671,0.7241379310344828,0.6253799392097265,17.0,11.0,15.0,0.5410239100456238,73536.0,15.0,93.53866666666667,121.5506669921875,5.658666666666667,7.3946666844685875,9.488,0.19479962197939554,0.0906545625726382,0.09732839465141296,318.61258268356323,89,PASS
baseline,internal_fold,0,2,0.7712215320910973,0.5923348065676177,0.7378640776699029,0.6868530020703933,40.0,64.0,nan,0.5149646997451782,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,367.3467381000519,88,PASS
pretransformer_edge_residual,internal_fold,0,2,0.7712215320910973,0.5923348139103736,0.7378640776699029,0.6868530020703933,40.0,64.0,0.0,0.5149646997451782,73536.0,15.0,93.53866666666667,121.2826669108073,5.658666666666667,7.372000012715658,9.488,0.21686518732706705,0.09540237291653951,0.0,367.34673714637756,88,PASS
baseline,internal_fold,0,3,0.753623188405797,0.590618485072056,0.5507246376811594,0.6589026915113871,36.0,48.0,nan,0.34092989563941956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,314.32930612564087,88,PASS
pretransformer_edge_residual,internal_fold,0,3,0.753623188405797,0.590618488009842,0.5507246376811594,0.6589026915113871,36.0,48.0,0.0,0.34092989563941956,73536.0,15.0,93.53866666666667,121.37066680908202,5.658666666666667,7.38400001780192,9.488,0.34685380760828655,0.13187737715244294,0.0,314.3293044567108,88,PASS
baseline,internal_fold,0,4,0.6319875776397516,0.6834381475269287,0.6538461538461539,0.5838509316770186,23.0,49.0,nan,0.5485628247261047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,372.2409975528717,88,PASS
pretransformer_edge_residual,internal_fold,0,4,0.6444099378881988,0.687411944456228,0.6666666666666667,0.59472049689441,23.0,49.0,1.0,0.5411071181297302,73536.0,15.0,93.53866666666667,121.8079999593099,5.658666666666667,7.410666684468588,9.488,0.2591051568190257,0.11218201247851053,0.013558560982346535,372.24099683761597,88,PASS
baseline,internal_fold,0,5,0.7187337830825117,0.6241625305500059,0.6666666666666666,0.6743642968344576,42.0,44.0,nan,0.3853285312652588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,309.92220544815063,88,PASS
pretransformer_edge_residual,internal_fold,0,5,0.7187337830825117,0.6241625308532451,0.6666666666666666,0.6743642968344576,42.0,44.0,0.0,0.3853285014629364,73536.0,15.0,93.53866666666667,121.65866701253255,5.658666666666667,7.4013333384195965,9.488,0.3428982476393382,0.1275303169488907,0.0,309.9222047328949,88,PASS
baseline,internal_fold,0,6,0.7337830825116762,0.6055110896259933,0.6666666666666666,0.6606123508043591,34.0,26.0,nan,0.40663376450538635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,324.4428873062134,88,PASS
pretransformer_edge_residual,internal_fold,0,6,0.7337830825116762,0.6055110911825982,0.6666666666666666,0.6606123508043591,34.0,26.0,0.0,0.40663376450538635,73536.0,15.0,93.53866666666667,121.66000004069011,5.658666666666667,7.404000011444092,9.488,0.334814465602239,0.12565839187304179,0.0,324.44288635253906,88,PASS
baseline,internal_fold,0,7,0.7259989621172808,0.617143646987061,0.7102803738317757,0.6359626362221069,44.0,44.0,nan,0.6017799377441406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,376.2369496822357,88,PASS
pretransformer_edge_residual,internal_fold,0,7,0.7259989621172808,0.6171436473092298,0.7102803738317757,0.6359626362221069,44.0,44.0,0.0,0.6017799377441406,73536.0,15.0,93.53866666666667,121.74400022379557,5.658666666666667,7.4093333524068195,9.488,0.3424651157061259,0.12862690313657124,0.0,376.23694825172424,88,PASS
