method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,n_modules,meta_dim,module_size_min,module_size_mean,module_size_max,singleton_modules,empty_meta_bins,affinity_mean,affinity_std,affinity_max,residual_head_l2,task_seconds,n_test,status
baseline,internal_fold,0,0,0.7370820668693009,0.5940567885904817,0.5882352941176471,0.6111955420466059,31.0,24.0,nan,0.44888967275619507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,333.88334941864014,89,PASS
consensus_highorder_residual,internal_fold,0,0,0.7370820668693009,0.5940567896325619,0.5882352941176471,0.6111955420466059,31.0,24.0,0.0,0.44888967275619507,32.0,528.0,7.0,12.0,28.0,0.0,0.0,0.16884214482426213,0.04114504685291685,0.7872077226638794,0.0,333.88334703445435,89,PASS
baseline,internal_fold,0,1,0.7396149949341438,0.6162118493172297,0.6590909090909092,0.6656534954407295,17.0,11.0,nan,0.4318991005420685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,297.59649181365967,89,PASS
consensus_highorder_residual,internal_fold,0,1,0.7396149949341438,0.6162118482936612,0.6590909090909092,0.6656534954407295,17.0,11.0,0.0,0.4318991005420685,32.0,528.0,4.0,12.0,21.0,0.0,0.0,0.17885412440464643,0.04788034498001307,0.8055055737495422,0.0,297.59649085998535,89,PASS
baseline,internal_fold,0,2,0.7701863354037267,0.592396028522254,0.7450980392156864,0.6987577639751552,40.0,64.0,nan,0.5129718780517578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,287.03465509414673,88,PASS
consensus_highorder_residual,internal_fold,0,2,0.7701863354037267,0.5923960288956732,0.7450980392156864,0.6987577639751552,40.0,64.0,0.0,0.5129718780517578,32.0,528.0,5.0,12.0,26.0,0.0,0.0,0.16417643264421564,0.04523753068290304,0.7904802560806274,0.0,287.0346541404724,88,PASS
baseline,internal_fold,0,3,0.7531055900621118,0.589997867687659,0.5507246376811594,0.6589026915113871,36.0,48.0,nan,0.3420999348163605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,283.11084365844727,88,PASS
consensus_highorder_residual,internal_fold,0,3,0.7531055900621118,0.589997866885873,0.5507246376811594,0.6589026915113871,36.0,48.0,0.0,0.3420999348163605,32.0,528.0,7.0,12.0,21.0,0.0,0.0,0.17412005317781618,0.04109809463638861,0.7853409647941589,0.0,283.11084270477295,88,PASS
baseline,internal_fold,0,4,0.6319875776397517,0.6837093249224337,0.6538461538461539,0.5838509316770186,23.0,49.0,nan,0.5483483672142029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,499.18994402885437,88,PASS
consensus_highorder_residual,internal_fold,0,4,0.6335403726708074,0.684808537140352,0.6538461538461539,0.5838509316770186,23.0,49.0,25.0,0.545850396156311,32.0,528.0,6.0,12.0,25.0,0.0,0.0,0.17132641287312622,0.04428530830440886,0.8070976734161377,0.028108803555369377,499.1899428367615,88,PASS
baseline,internal_fold,0,5,0.7176959003632589,0.6245045357746175,0.6666666666666666,0.6743642968344576,42.0,44.0,nan,0.3849748373031616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350.66694736480713,88,PASS
consensus_highorder_residual,internal_fold,0,5,0.7176959003632589,0.6245045302470366,0.6666666666666666,0.6743642968344576,42.0,44.0,0.0,0.3849748373031616,32.0,528.0,6.0,12.0,21.0,0.0,0.0,0.16649728738048314,0.04164737257664594,0.7995136380195618,0.0,350.66694617271423,88,PASS
baseline,internal_fold,0,6,0.7337830825116762,0.6047693080814928,0.6741573033707866,0.6728074727555786,34.0,26.0,nan,0.4068564474582672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,334.8691725730896,88,PASS
consensus_highorder_residual,internal_fold,0,6,0.7337830825116762,0.6047693093917033,0.6741573033707866,0.6728074727555786,34.0,26.0,0.0,0.4068564474582672,32.0,528.0,7.0,12.0,23.0,0.0,0.0,0.16834604050658133,0.04243877069124812,0.8008930087089539,0.0,334.86917185783386,88,PASS
baseline,internal_fold,0,7,0.7275557861961598,0.6168277482209006,0.6981132075471698,0.6253243383497665,44.0,44.0,nan,0.6019554734230042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,296.8314051628113,88,PASS
consensus_highorder_residual,internal_fold,0,7,0.7275557861961598,0.6168277437947953,0.6981132075471698,0.6253243383497665,44.0,44.0,0.0,0.6019554734230042,32.0,528.0,5.0,12.0,29.0,0.0,0.0,0.16633774959079003,0.042386969026009934,0.8066489696502686,0.0,296.83140444755554,88,PASS
baseline,internal_fold,0,8,0.7732226258432797,0.5791458384421627,0.7422680412371133,0.7122470160871821,47.0,35.0,nan,0.4794047176837921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,231.08052158355713,88,PASS
consensus_highorder_residual,internal_fold,0,8,0.7732226258432797,0.5791458381722975,0.7422680412371133,0.7122470160871821,47.0,35.0,0.0,0.4794047176837921,32.0,528.0,6.0,12.0,20.0,0.0,0.0,0.17545696488906629,0.04066073952523572,0.7991344928741455,0.0,231.0805208683014,88,PASS
baseline,internal_fold,0,9,0.6616502335236119,0.6662451363446095,0.5977011494252874,0.6058640373637779,21.0,52.0,nan,0.43596217036247253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,228.0156328678131,88,PASS
consensus_highorder_residual,internal_fold,0,9,0.6616502335236119,0.6662451355310626,0.5977011494252874,0.6058640373637779,21.0,52.0,0.0,0.43596217036247253,32.0,528.0,6.0,12.0,27.0,0.0,0.0,0.16721769935867667,0.04287663158026849,0.7805374264717102,0.0,228.01563215255737,88,PASS
baseline,internal_oof,0,all,0.7209359923634581,0.6167600205413217,0.663019693654267,0.6509171590000258,33.5,39.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
consensus_highorder_residual,internal_oof,0,all,0.7207295993395424,0.6168696914972877,0.663019693654267,0.6509171590000258,33.5,39.7,2.5,nan,32.0,528.0,5.9,12.0,24.1,0.0,0.0,0.1701174909649664,0.04296568088560387,0.7962359726428986,0.0028108803555369375,nan,882,PASS
baseline,caltech,0,external,0.7485380116959064,0.5869441914334733,0.6060606060606061,0.652046783625731,1.0,37.0,nan,0.371379554271698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,244.71423244476318,37,PASS
baseline,abide2,0,external,0.7198249385749387,0.6129362890803671,0.5937031484257872,0.6463682432432433,1.0,37.0,nan,0.371379554271698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,244.71423244476318,727,PASS
consensus_highorder_residual,caltech,0,external,0.7485380116959064,0.5869441897440044,0.6060606060606061,0.652046783625731,1.0,37.0,0.0,0.371379554271698,32.0,528.0,7.0,12.0,19.0,0.0,0.0,0.18611529393693443,0.0632816510293519,0.8290550708770752,0.0,244.71423077583313,37,PASS
consensus_highorder_residual,abide2,0,external,0.7198249385749387,0.6129362907318017,0.5937031484257872,0.6463682432432433,1.0,37.0,0.0,0.371379554271698,32.0,528.0,7.0,12.0,19.0,0.0,0.0,0.18611529393693443,0.0632816510293519,0.8290550708770752,0.0,244.71423077583313,727,PASS
baseline,internal_fold,1,0,0.7684903748733537,0.5847006216262235,0.6444444444444444,0.6418439716312057,30.0,17.0,nan,0.47779396176338196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,409.02108883857727,89,PASS
consensus_highorder_residual,internal_fold,1,0,0.7684903748733536,0.5830762242480797,0.651685393258427,0.6537487335359675,30.0,17.0,30.0,0.4672528803348541,32.0,528.0,2.0,12.0,24.0,0.0,0.0,0.16781740513402446,0.04220703346228943,0.7772709131240845,0.03376556187868118,409.02108788490295,89,PASS
